dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
shell-512b,zstd-6,8192,2654,32.397461,3.086662,135.261084,421.004593,99.876715,99.944470,7.381292,2.371916,4.256000,1.362000
shell-512b,zstd-9,8192,2654,32.397461,3.086662,113.132390,420.306507,99.869355,99.847315,8.830899,2.371906,4.567000,1.242000
shell-512b,snappy-1,8192,3409,41.613770,2.403051,2155.350615,1174.995855,99.839973,99.903354,0.462144,0.848319,2.203000,0.501000
shell-512b,snappy-2,8192,3267,39.880371,2.507499,1362.195186,997.349274,99.877651,99.922002,0.733211,1.001876,2.334000,0.621000
shell-512b,lz4-fast,8192,3282,40.063477,2.496039,1437.901643,8541.816714,99.950882,99.666483,0.695116,0.115653,0.381000,0.081000
shell-512b,lz4-hc9,8192,3272,39.941406,2.503667,208.802104,8586.391786,99.917586,99.945463,4.736000,0.116404,3.285000,0.100000
shell-4k-output-json,none-copy,231560,231560,100.000000,1.000000,97321.222988,97419.562028,99.905359,99.827399,0.010264,0.010246,0.161000,0.190000
shell-4k-output-json,zstd-fast3,231560,20747,8.959665,11.161132,2725.973763,7031.135710,99.905604,99.957989,0.366727,0.141799,6.749000,2.624000
shell-4k-output-json,zstd-1,231560,12312,5.316980,18.807667,1966.817566,4496.356419,99.918170,99.880441,0.507997,0.222112,8.542000,3.736000
shell-4k-output-json,zstd-3,231560,12960,5.596822,17.867284,1785.020113,4518.359617,99.885854,99.844951,0.559760,0.220677,9.693000,3.475000
shell-4k-output-json,zstd-6,231560,11079,4.784505,20.900803,405.083174,4741.236112,99.860084,99.908869,2.464196,0.210656,38.042000,3.655000
shell-4k-output-json,zstd-9,231560,11739,5.069528,19.725701,83.848942,4947.344336,99.898981,99.818824,11.853645,0.201828,200.546000,3.715000
shell-4k-output-json,snappy-1,231560,28771,12.424857,8.048382,1235.778930,6961.915104,99.889321,99.770659,0.795727,0.142854,12.417000,2.563000
shell-4k-output-json,snappy-2,231560,25555,11.036017,9.061240,1147.807008,7916.763027,99.816880,99.797351,0.869631,0.126020,13.199000,2.183000
shell-4k-output-json,lz4-fast,231560,26683,11.523147,8.678185,4433.675069,15446.497794,99.904514,99.755697,0.225331,0.064357,3.605000,1.011000
shell-4k-output-json,lz4-hc9,231560,18774,8.107618,12.334079,261.892581,24166.938490,99.856553,99.942079,3.815839,0.041355,65.000000,0.661000
shell-4k,none-copy,65536,65536,100.000000,1.000000,79542.962322,82239.091241,99.777412,99.915868,0.012544,0.012141,0.070000,0.061000
shell-4k,zstd-fast3,65536,13833,21.107483,4.737656,1228.976564,2958.786867,99.979587,99.933469,0.812574,0.337251,3.494000,1.422000
shell-4k,zstd-1,65536,8379,12.785339,7.821458,819.299616,1781.564261,99.800783,99.818037,1.213303,0.559528,5.108000,2.313000
